Soundex of abckvq : 3  : abusive : abusively : abusiveness
Soundex of pdtq : 51  : paddies : paddock : paddocks : pads : patch : patchy : pates : pathos : paths : pathways : patios : patois : pats : patsy : patties : pdsa : pedis : pets : pettish : pewits : photos : pietas : pieties : pitch : piteous : piths : pities : pits : podge : podgy : pods : poetess : poetic : poetics : poetise : poetize : poets : potage : potash : pothook : pothooks : pots : pottage : potties : pouts : pudsey : puts : putsch : puttees : putties : putts
Soundex of peoepy : 29  : pap : papa : papaw : papaya : papua : pave : pawpaw : payoff : peavey : peep : peeve : pep : peppy : phobia : phoebe : pip : pipe : poop : pop : pope : poppy : pouf : pub : puff : puffy : pup : pupa : pupae : puppy
Metaphone of peoepy : 18  : pap : papa : papaw : papua : pawpaw : peep : pep : peppy : pip : pipe : poop : pop : pope : poppy : pup : pupa : pupae : puppy
Soundex of peqigr : 4  : packager : possessor : possessors : possessory
Metaphone of peqigr : 2  : paccar : peccary
Soundex of pffbtzr : 34  : patchier : patchwork : patchworks : patisserie : patisseries : pedicure : pedicures : pedicurist : pedicurists : pedigree : pedigreed : pedigrees : photograph : photographed : photographer : photographers : photographic : photographically : photographing : photographs : photography : photogravure : photogravures : photojournalism : photojournalist : photojournalists : pitcairn : pitcher : pitchers : potsherd : potsherds : pudgier : pythagoras : pythagorean
Soundex of pgch : 102  : pace : pack : packs : page : paige : pais : paix : pas : pasha : paso : pass : passÉ : passkey : passu : pause : paws : pax : payees : pays : paz : pc : peace : peach : peachy : peak : peaks : peaky : peas : pease : peck : pecks : peek : peeks : pees : peewees : peez : peg : peggy : pegs : pekoe : pesky : peso : pews : pewsey : phase : piazza : pica : pick : picks : picky : piece : pies : pig : piggy : pigs : pike : pious : pique : pisa : piss : pius : pixie : pixy : pizza : poach : pock : pocks : poesy : pogo : poise : poke : poky : pooch : pos : pose : posh : posse : posy : pouch : pows : powwows : powys : pox : ppos : pps : ps : psi : puce : puck : pucks : pug : pugh : pugs : puis : puke : pukka : pus : push : pushy : puss : pussy : Époque
Metaphone of pgch : 4  : pactio : peckish : piggish : puckish
Soundex of pgx : 102  : pace : pack : packs : page : paige : pais : paix : pas : pasha : paso : pass : passÉ : passkey : passu : pause : paws : pax : payees : pays : paz : pc : peace : peach : peachy : peak : peaks : peaky : peas : pease : peck : pecks : peek : peeks : pees : peewees : peez : peg : peggy : pegs : pekoe : pesky : peso : pews : pewsey : phase : piazza : pica : pick : picks : picky : piece : pies : pig : piggy : pigs : pike : pious : pique : pisa : piss : pius : pixie : pixy : pizza : poach : pock : pocks : poesy : pogo : poise : poke : poky : pooch : pos : pose : posh : posse : posy : pouch : pows : powwows : powys : pox : ppos : pps : ps : psi : puce : puck : pucks : pug : pugh : pugs : puis : puke : pukka : pus : push : pushy : puss : pussy : Époque
Metaphone of pgx : 3  : peacocks : pickax : pickaxe
Soundex of phkdvbw : 24  : pasteboard : pasteboards : pestiferous : pocketbook : pocketbooks : pocketful : pocketfuls : positive : positively : positives : positivism : positivist : positivistic : positivists : postoperative : postpone : postponed : postponement : postponements : postpones : postponing : postprandial : pseudopodia : pseudopodium
Soundex of piyvz : 34  : papacy : papas : papaws : papayas : papoose : paves : pawpaws : payoffs : peeps : peeves : peevish : peps : pepsi : pepys : phobias : phobic : phoebes : pipes : pips : poops : popes : popish : poppies : pops : poufs : pubes : pubic : pubis : pubs : puffs : pupas : puppies : puppyish : pups
Metaphone of piyvz : 4  : paves : peeves : poufs : puffs
Soundex of pja : 102  : pace : pack : packs : page : paige : pais : paix : pas : pasha : paso : pass : passÉ : passkey : passu : pause : paws : pax : payees : pays : paz : pc : peace : peach : peachy : peak : peaks : peaky : peas : pease : peck : pecks : peek : peeks : pees : peewees : peez : peg : peggy : pegs : pekoe : pesky : peso : pews : pewsey : phase : piazza : pica : pick : picks : picky : piece : pies : pig : piggy : pigs : pike : pious : pique : pisa : piss : pius : pixie : pixy : pizza : poach : pock : pocks : poesy : pogo : poise : poke : poky : pooch : pos : pose : posh : posse : posy : pouch : pows : powwows : powys : pox : ppos : pps : ps : psi : puce : puck : pucks : pug : pugh : pugs : puis : puke : pukka : pus : push : pushy : puss : pussy : Époque
Metaphone of pja : 4  : page : paige : podge : podgy
Soundex of pjn : 21  : pagan : pajama : passim : passion : pecan : peckham : pecunia : phosgene : picayune : pigeon : pigmy : pigskin : piscine : poison : poisson : possum : psion : puccini : puisne : pygmy : pyjama
Metaphone of pjn : 2  : pidgin : pigeon
Soundex of pkt : 47  : paced : packed : packet : pact : pactio : paged : pagoda : pashto : passed : past : pasta : paste : pasty : paucity : paused : peaked : pecked : peeked : pegged : peseta : pest : peugeot : phased : picked : picket : picot : pict : pieced : pigged : pigsty : piqued : piquet : pissed : piste : poached : pocked : pocket : poised : poked : pokeweed : posed : posit : post : pouched : pseudo : puked : pushed
Metaphone of pkt : 19  : packed : packet : pact : pagoda : peaked : pecked : peeked : pegged : picked : picket : picot : pict : pigged : piqued : piquet : pocked : pocket : poked : puked
Soundex of pmim : 10  : panama : penman : penmen : pennine : pennon : phnom : phoneme : phonon : pinion : pinyin
Soundex of pmmz : 70  : paeans : pains : panacea : panache : panes : pang : pangs : panic : panicky : panics : panky : pans : pansy : paunch : paunchy : pawing : pawnees : pawns : paying : peahens : peeing : peens : pence : penge : penis : pennies : pens : pensa : penuche : peonage : peonies : peons : pfennig : pfennigs : phoenicia : phoenix : phones : phoneys : phonic : phonics : phonies : pianos : pinch : pines : ping : pings : pink : pinkie : pinks : pinky : pinnace : pinocchio : pins : poems : ponce : poncho : pong : pongee : ponies : pounce : powwowing : pumas : pumice : punch : punchy : punic : punish : punk : punks : puns
Metaphone of pmmz : 3  : poems : pumas : pumice
Soundex of pmperj : 16  : pamper : pampered : pampering : pampers : pawnbroker : pawnbrokers : pembroke : pembrokeshire : pianoforte : pianofortes : pimpernel : pimpernels : pinafore : pinafores : pumpernickel : pumpernickels
Soundex of pmsdwht : 42  : painstaking : painstakingly : panicked : paymaster : paymasters : penistone : pennyweight : pennyweights : phoniest : pianist : pianists : pinched : pinged : pinked : poinsettia : poinsettias : pounced : punched : puncta : punctilio : punctilios : punctilious : punctiliously : punctual : punctuality : punctually : punctuate : punctuated : punctuates : punctuating : punctuation : punctuator : punctuators : punctum : puncture : punctured : punctures : puncturing : puniest : punished : punster : punsters
Soundex of popead : 16  : paved : peabody : peeped : peeved : pepped : piped : pipette : pipit : pipped : pivot : pooped : popped : poppet : puffed : pupate : puppet
Metaphone of popead : 11  : peeped : pepped : piped : pipette : pipit : pipped : pooped : popped : poppet : pupate : puppet
Soundex of pozplcv : 12  : passable : passably : passively : peaceable : peaceably : peaceful : peacefully : peacefulness : possibilities : possibility : possible : possibly
Soundex of pprpkqr : 186  : paraphs : parapsychology : paribus : perfect : perfecta : perfectas : perfected : perfectibility : perfectible : perfecting : perfection : perfectionism : perfectionist : perfectionists : perfectly : perfecto : perfectos : perfects : perficiens : perfusion : perfusions : perhaps : pervasion : pervasions : pervasive : pervasively : pervious : porpoise : porpoises : preface : prefaced : prefaces : prefacing : prefect : prefects : prefecture : prefectures : prefigure : prefigured : prefigures : prefiguring : prefix : prefixed : prefixes : prefixing : prepays : preposition : prepositional : prepositions : prepossess : prepossessed : prepossesses : prepossessing : prepossession : prepossessions : preposterous : preposterously : preposterousness : preppies : preps : prepuce : prepuces : previews : previous : previously : prevision : previsions : priapism : privacy : privies : probes : proboscides : proboscis : proboscises : profess : professed : professedly : professes : professing : profession : professional : professionalism : professionally : professionals : professions : professor : professorial : professorially : professors : professorship : professorships : proficiencies : proficiency : proficient : proficiently : profuse : profusely : profusion : proofs : propaganda : propagandise : propagandised : propagandises : propagandising : propagandist : propagandistic : propagandists : propagandize : propagandized : propagandizes : propagandizing : propagate : propagated : propagates : propagating : propagation : propagator : propagators : prophase : prophases : prophecies : prophecy : prophesied : prophesier : prophesiers : prophesies : prophesy : prophesying : propos : proposal : proposals : propose : proposed : proposes : proposing : proposition : propositioned : propositioning : propositions : props : proves : provision : provisional : provisionally : provisioned : provisioning : provisions : proviso : provisor : provisors : provisory : provisos : provocateur : provocateurs : provocation : provocations : provocative : provocatively : provoke : provoked : provokes : provoking : provokingly : provos : provost : provosts : purbeck : purification : purifies : purpose : purposed : purposeful : purposefully : purposefulness : purposeless : purposelessly : purposelessness : purposely : purposes : purposing : purposive : purposively : purveys : purviews : pyrophosphate : pyrophosphates
Soundex of prtngl : 114  : parading : parathion : parathions : pardon : pardonable : pardonably : pardoned : pardoner : pardoners : pardoning : pardons : parodying : parroting : partem : parthenogenesis : parthenon : parting : partings : partium : partner : partnered : partnering : partners : partnership : partnerships : partying : periodontal : peritoneal : peritoneum : peritonitis : pertain : pertained : pertaining : pertains : pertinacious : pertinacity : pertinence : pertinent : pertinently : pirating : pirouetting : portend : portended : portending : portends : portent : portentous : portentously : portentousness : portents : porting : portion : portioned : portioning : portions : portmadoc : portmanteau : portmanteaus : portmanteaux : portmeirion : prating : preaudience : predominance : predominant : predominantly : predominate : predominated : predominately : predominates : predominating : predomination : preheating : preteen : preteens : pretence : pretences : pretend : pretended : pretender : pretenders : pretending : pretends : pretense : pretenses : pretension : pretensions : pretentious : pretentiously : pretentiousness : pretium : prettiness : priding : prodding : protean : protein : proteins : prothonotaries : prothonotary : protomartyr : protomartyrs : proton : protons : proudness : prudence : prudent : prudential : prudentially : prudently : puritan : puritanical : puritanically : puritanism : puritans : pyridine
Metaphone of prtngl : 2  : puritanical : puritanically
Soundex of psnt : 23  : pageant : pageantry : pageants : paginate : paginated : paginates : paginating : pagination : paignton : passant : passionate : passionately : peasant : peasantry : peasants : pegmatite : pheasant : pheasants : pignuts : piquant : piquantly : poisoned : puissant
Metaphone of psnt : 5  : passant : passionate : peasant : poisoned : puissant
Soundex of ptxi : 51  : paddies : paddock : paddocks : pads : patch : patchy : pates : pathos : paths : pathways : patios : patois : pats : patsy : patties : pdsa : pedis : pets : pettish : pewits : photos : pietas : pieties : pitch : piteous : piths : pities : pits : podge : podgy : pods : poetess : poetic : poetics : poetise : poetize : poets : potage : potash : pothook : pothooks : pots : pottage : potties : pouts : pudsey : puts : putsch : puttees : putties : putts
Metaphone of ptxi : 2  : paddocks : poetics
Soundex of pujtasv : 49  : packets : pactis : pacts : pagodas : pashtos : pastas : pastes : pastiche : pastiches : pasties : pastiest : pasts : pesetas : pesticidal : pesticide : pesticides : pests : pickets : picots : pictogram : pictograms : pictograph : pictographic : pictographically : pictographs : pictography : picts : pigsties : pistachio : pistachios : pockets : pokeweeds : posits : postact : postage : postcard : postcards : postcode : postcodes : postdoctoral : postgraduate : postgraduates : posts : postscript : postscripts : pseudocyesis : pseudograph : pseudographs : psittacosis
Soundex of pvmqgpe : 14  : pangbourne : pawnshop : pawnshops : pensive : pensively : pensiveness : pinchbeck : pinchbecks : punchbowl : punchbowls : punishable : punjab : punjabi : punjabis
Soundex of pwshdvd : 24  : pasteboard : pasteboards : pestiferous : pocketbook : pocketbooks : pocketful : pocketfuls : positive : positively : positives : positivism : positivist : positivistic : positivists : postoperative : postpone : postponed : postponement : postponements : postpones : postponing : postprandial : pseudopodia : pseudopodium
Soundex of pxi : 102  : pace : pack : packs : page : paige : pais : paix : pas : pasha : paso : pass : passÉ : passkey : passu : pause : paws : pax : payees : pays : paz : pc : peace : peach : peachy : peak : peaks : peaky : peas : pease : peck : pecks : peek : peeks : pees : peewees : peez : peg : peggy : pegs : pekoe : pesky : peso : pews : pewsey : phase : piazza : pica : pick : picks : picky : piece : pies : pig : piggy : pigs : pike : pious : pique : pisa : piss : pius : pixie : pixy : pizza : poach : pock : pocks : poesy : pogo : poise : poke : poky : pooch : pos : pose : posh : posse : posy : pouch : pows : powwows : powys : pox : ppos : pps : ps : psi : puce : puck : pucks : pug : pugh : pugs : puis : puke : pukka : pus : push : pushy : puss : pussy : Époque
Metaphone of pxi : 23  : packs : paix : pax : peaks : pecks : peeks : pegs : pekoes : picas : picasso : picks : piggies : pigs : pikes : piques : pixie : pixy : pocks : pokes : pox : pucks : pugs : pukes
Soundex of pxrx : 20  : pacers : packers : packhorse : packhorses : pagers : passers : peccaries : picaresque : pickers : picric : piecrust : piscaries : pizzerias : poachers : pokers : posers : poseurs : psoriasis : puckers : pushers
